original_title;overview
Toy Story;Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onscene. Afraid losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, duo eventually learns put aside their differences.
Bug's Life;"On behalf ""oppressed bugs everywhere,"" an inventive ant named Flik hires troupe warrior bugs defend his bustling colony from horde freeloading grasshoppers led by evil-minded Hopper."
Toy Story 2;Andy heads off Cowboy Camp, leaving his toys their own devices. Things shift inhigh gear when an obsessive toy collector named Al McWhiggen, owner Al's Toy Barn kidnaps Woody. Andy's toys mount daring rescue mission, Buzz Lightyear meets his match and Woody has decide where he and his heart truly belong.
Monsters, Inc.;James Sullivan and Mike Wazowski are monsters, they earn their living scaring children and are best in business... even though they're more afraid children than they are them. When child accidentally enters their world, James and Mike suddenly find that kids are not be afraid and they uncover conspiracy that could threaten all children across world.
Finding Nemo;Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home dentist's office aquarium. It's up his worrisome father Marlin and friendly but forgetful fish Dory bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along way.
Incredibles;Bob Parr has given up his superhero days log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives mysterious assignment, it's time get back incostume.
Luxo Jr.;baby lamp finds ball play with and it's all fun and games until ball bursts. Just when elder Luxo thinks his kid will settle down for bit, Luxo Jr. finds ball ten times bigger.
Cars;Lightning McQueen, hotshot rookie race car driven succeed, discovers that life is about journey, not finish line, when he finds himself unexpectedly detoured in sleepy Route 66 town Radiator Springs. On route across country big Piston Cup Championship in Californicompete against two seasoned pros, McQueen gets know town's offbeat characters.
Ratatouille;rat named Remy dreams becoming great French chef despite his family's wishes and obvious problem being rat in decidedly rodent-phobic profession. When fate places Remy in sewers Paris, he finds himself ideally situated beneath restaurant made famous by his culinary hero, Auguste Gusteau. Despite apparent dangers being an unlikely - and certainly unwanted - visitor in kitchen fine French restaurant, Remy's passion for cooking soon sets inmotion hilarious and exciting rat race that turns culinary world Paris upside down.
WALL·E;WALL·E is last robot left on an Earth that has been overrun with garbage and all humans have fled outer space. For 700 years he has continued try and clean up mess, but has developed some rather interesting human-like qualities. When ship arrives with sleek new type robot, WALL·E thinks he's finally found friend and stows away on ship when it leaves.
Up;Carl Fredricksen spent his entire life dreaming exploring globe and experiencing life its fullest. But at age 78, life seems have passed him by, until twist fate (and persistent 8-year old Wilderness Explorer named Russell) gives him new lease on life.
Partly Cloudy;"Everyone knows that stork delivers babies, but where do storks get babies from? answer lies up in stratosphere, where cloud people sculpt babies from clouds and bring them life. Gus, lonely and insecure grey cloud, is master at creating ""dangerous"" babies. Crocodiles, porcupines, rams and more - Gus's beloved creations are works art, but more than handful for his loyal delivery stork partner, Peck. As Gus's creations become more and more rambunctious, Peck's job gets harder and harder. How will Peck manage handle both his hazardous cargo and his friend's fiery temperament?"
Toy Story 3;Woody, Buzz, and rest Andy's toys haven't been played with in years. With Andy about go college, gang find themselves accidentally left at nefarious day care center. toys must band together escape and return home Andy.
Day & Night;When Day, sunny fellow, encounters Night, stranger distinctly darker moods, sparks fly! Day and Night are frightened and suspicious each other at first, and quickly get off on wrong foot. But as they discover each other's unique qualities--and come realize that each them offers different window onsame world-friendship helps both gain new perspective.
BURN·E;What lengths will robot undergo do his job? BURN·E is dedicated hard working robot who finds himself locked out his ship. BURN·E quickly learns that completing simple task can often be very difficult endeavor.
Cars 2;Star race car Lightning McQueen and his pal Mater head overseas compete in World Grand Prix race. But road championship becomes rocky as Mater gets caught up in an intriguing adventure his own: international espionage.
Mike's New Car;Mike discovers that being top-ranking laugh collector at Monsters, Inc. has it's benefits - in particular, earning enough money buy six-wheel-drive car that's loaded with gadgets. That new-car smell doesn't last long enough, however, as Sulley jump-starts an ill-fated road test that teaches Mike true meaning buyer's remorse.
Lifted;When an overconfident teen alien gets behind controls spaceship, he must attempt abduct slumbering farmer under watchful eye critical instructor. But abducting humans requires precision and gentle touch, and within few missteps it's painfully clear why more humans don't go missing every year.
Brave;Brave is set in mystical Scottish Highlands, where Méridis princess kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Méridone day defies sacred custom land and inadvertently brings turmoil kingdom. In an attempt set things right, Méridseeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring inMérida’s quest — and serving as comic relief — are kingdom’s three lords: enormous Lord MacGuffin, surly Lord Macintosh, and disagreeable Lord Dingwall.
Presto;Dignity. Poise. Mystery. We expect nothing less from great turn-of-the-century magician, Presto. But when Presneglects feed his rabbit one too many times, magician finds he isn't only one with few tricks up his sleeve!
Jack-Jack Attack;"Kari babysitter thinks she's in for night routine babysitting. She's prepared provide neurological stimulation with some soothing musical accompaniment for little Jack-Jack, smallest member incredible Parr family. Little does she know that Jack-Jack will teach her thing or two about babies with ""special needs."""
Boundin';On high mountain plain lives lamb with wool such remarkable sheen that he breaks inhigh-steppin' dance. But there comes day when he loses his lustrous coat and, along with it, his pride. It takes wise jackalope - horn-adorned rabbit - teach moping lamb that wooly or not, it's what's inside that'll help him rebound from life's troubles.
One Man Band;With one coin make wish at piazzfountain, peasant girl encounters two competing street performers who'd prefer coin find its way intheir tip jars. little girl, Tippy, is caught in middle as musical duel ensues between one-man-bands.
Tin Toy;Babies are hardly monster-like, unless you're toy. After escaping drooling baby, Tinny realizes that he wants be played with after all. But in amount time it takes him discover this, baby's attention moves on other things only an infant could find interesting.
Red's Dream;Life as sole sale item in clearance corner Eben's Bikes can get lonely. So Red, unicycle, dreams up clown owner and his own juggling act that steals show. But all too soon, applause turns insound rainfall, as reality rushes back. Red must resign himself sitting in corner and await his fate.
Geri's Game;An aging codger named Geri plays daylong game chess in park against himself. Somehow, he begins losing his livelier opponent. But just when game's nearly over, Geri manages turn tables.
Knick Knack;Life on shelf as snowman trapped in snow-globe blizzard can become wearing, especially when you're surrounded by knickknacks from sunnier locales. When jaded snowman finally breaks free his glass house, his vacation plans are cut short.
For Birds;One by one, flock small birds perches on telephone wire. Sitting close together has problems enough, and then comes along large dopey bird that tries join them. birds feather can't help but make fun him - and their clique mentality proves embarrassing in end.
Monsters University;look at relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily best friends.
Blue Umbrella;It is just another evening commute until rain starts fall, and city comes alive sound dripping rain pipes, whistling awnings and gurgling gutters.
Toy Story Terror!;What starts out as fun road trip for Toy Story gang takes an unexpected turn for worse when trip detours roadside motel. After one toys goes missing, others find themselves caught up in mysterious sequence events that must be solved before they all suffer same fate in this Toy Story Terror.
Lluna;young boy comes age in most peculiar circumstances. Tonight is very first time his Papand Grandpare taking him work. In an old wooden boat they row far out sea, and with no land in sight, they stop and wait. big surprise awaits boy as he discovers his family's most unusual line work. Should he follow example his Papa, or his Grandpa? Will he be able find his own way in midst their conflicting opinions and timeworn traditions?
Mater and Ghostlight;Mater, rusty but trusty tow truck from Cars, spends day in Radiator Springs playing scary pranks on his fellow townsfolk. That night at Flo's V8 Café, Sheriff tells story legend Ghostlight, and as everyone races home Mater is left alone primed for good old-fashioned scare.
Your Friend Rat;Let's face it, rats are not most beloved creatures on earth. However, maybe this little tale about history human and rat interaction will change world's tune. At least that is hope Remy, star Ratatouille, and his reluctant brother Emile as they guide us through world history from rat's perspective. Why can't we all just get along?
Dug's Special Mission;"Dug's Special Mission will give ""little bit backstory what Dug was actually doing"" before encountering Carl and Russell in Up."
Hawaiian Vacation;toys throw Ken and Barbie Hawaiian vacation in Bonnie's room.
Small Fry;fast food restaurant mini variant Buzz forcibly switches places with real Buzz and his friends have deal with obnoxious impostor.
Partysaurus Rex;When Rex finds himself left behind in bathroom, he puts his limbs use by getting bath going for bunch new toy friends.
Legend Mor'du;witch from Pixar's Brave uses magical illustrations tell legend power-obsessed prince who sought magic spell that would allow him wrest control kingdom from his brothers, only destroy that kingdom and his own fate as well.
Toy Story That Time Forgot;During post-Christmas play date, gang find themselves in uncharted territory when coolest set action figures ever turn out be dangerously delusional. It's all up Trixie, triceratops, if gang hopes return Bonnie's room in this Toy Story That Time Forgot.
Adventures André and Wally B.;There's nothing like restful nap in pleasant wooded valley. But when André awakens and is greeted by pesky yellow-and-black striped insect with nasty stinger, he ends up taking quick (and painful) hike.
Inside Out;Growing up can be bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts new job in San Francisco. Like all us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. emotions live in Headquarters, control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle adjust new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries keep things positive, emotions conflict on how best navigate new city, house and school.
Good Dinosaur;An epic journey inworld dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.
Lava;"story follows love story two volcanoes, Uku and Lele. It features song, ""Lava"", which is written by Murphy and performed by KuanTorres Kahele and NapuGreig, who voice two volcanoes."
Sanjay's Super Team;"Sanjay's Super Team follows daydream young Indian boy, bored with his father's religious meditation, who imagines ""kind ancient, Hindu version Avengers, with gods appearing like superheros."
Finding Dory;Dory is reunited with her friends Nemo and Marlin in search for answers about her past. What can she remember? Who are her parents? And where did she learn speak Whale?
Piper;mother bird tries teach her little one how find food by herself. In process, she encounters traumatic experience that she must overcome in order survive.
Air Mater;Mater's decision fly lands him accidentally at big airshow.
Riley's First Date?;Riley, now 12, is hanging out at home with her parents in San Francisco when potential trouble comes knocking: boy shows up at door.
Cars 3;Blindsided by new generation blazing-fast racers, legendary Lightning McQueen is suddenly pushed out sport he loves. get back in game, he will need help an eager young race technician with her own plan win, inspiration from late Fabulous Hudson Hornet, and few unexpected turns. Proving that #95 isn't through yet will test heart champion on Piston Cup Racing’s biggest stage!
Lou;Pixar short about lost-and-found box and unseen monster within.
